route_name,start_ds100,end_ds100,composition_id,error
1858 = 1859,RLR,RF,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RLR,RF,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
1858 = 1859,RLR,RF,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,FD,KKO,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,KK,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
332/1372 = 333/1373,KKO,FMZ,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
334/1374 = 335/1375,KKO,NAH,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
452 = 453,DN,BLS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
454 = 455,KD,KKSU,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
456 = 457,KA,KKSU,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Berlinaren,AH,BLS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RBB,RO,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RK,RBB,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Canopus,RO,RF,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,FFU,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,UE  P,LL,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFS,FFLF,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FFU,FH  N,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
LE 232 = LE 235,FH  N,FFS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
Metropol,BPAF,BLS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TGO,TS,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 236 = NJ 237,TU,TGO,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,FKW,HG,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,NEW-BAL-7,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40420 = NJ 40491,NWH,FKW,NEW-BAL-14,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-BUD-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-COUCH-6,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-BAL-9,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-COUCH-10,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-BUD-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
NJ 40421 = NJ 40490,EE,FKW,REF-PREM-12,400 Client Error: Bad Request for url: https://trassenfinder.de/api/web/routen/suche
