route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
1858 = 1859,Karlsruhe Hbf,RK,Hannover Hbf,HH,REF-COUCH-10,10,532.2,264.0,200,2857,501.2,312
1858 = 1859,Karlsruhe Hbf,RK,Hannover Hbf,HH,REF-BUD-12,12,636.0,316.8,200,3223,501.3,313
1858 = 1859,Karlsruhe Hbf,RK,Hannover Hbf,HH,REF-PREM-12,12,631.6,316.8,200,3210,501.3,313
1858 = 1859,Karlsruhe Hbf,RK,Hannover Hbf,HH,NEW-BAL-7,7,313.8,185.7,230,2165,498.0,306
1858 = 1859,Karlsruhe Hbf,RK,Hannover Hbf,HH,NEW-BAL-14,14,627.6,371.4,230,3341,501.3,313
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-BUD-6,6,323.3,158.4,200,250,49.6,30
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-COUCH-6,6,313.0,158.4,200,247,49.6,30
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-BAL-9,9,501.4,237.6,200,331,49.6,30
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-COUCH-10,10,532.2,264.0,200,346,49.6,31
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-BUD-12,12,636.0,316.8,200,393,49.6,31
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,REF-PREM-12,12,631.6,316.8,200,391,49.6,31
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,NEW-BAL-7,7,313.8,185.7,230,261,49.6,30
1858 = 1859,Lüneburg,ALBG,Hamburg Hbf,AH,NEW-BAL-14,14,627.6,371.4,230,407,49.6,31
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-BUD-6,6,323.3,158.4,200,2625,635.6,391
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-COUCH-6,6,313.0,158.4,200,2593,635.6,391
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-BAL-9,9,501.4,237.6,200,3411,635.5,392
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-COUCH-10,10,532.2,264.0,200,3554,638.8,399
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-BUD-12,12,636.0,316.8,200,4001,638.9,399
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,REF-PREM-12,12,631.6,316.8,200,3985,638.9,399
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,NEW-BAL-7,7,313.8,185.7,230,2707,635.6,391
302/322 = 303/323,München Ost,MOP,Hannover Hbf,HH,NEW-BAL-14,14,627.6,371.4,230,4139,638.9,400
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-BUD-6,6,323.3,158.4,200,3348,817.2,491
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-COUCH-6,6,313.0,158.4,200,3309,817.2,491
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-BAL-9,9,501.4,237.6,200,4292,817.2,492
