,coefficient,std_error,p_value
Intercept,996.2932068803401,39.15258695400667,7.733759904524071e-143
distance_c,5.869303270509073,0.2893948783052326,1.881081667715046e-91
I(distance_c ** 2),-0.0012393683707772486,0.0005948599221357438,0.0372090818100656
weight_c,1.2319690360053375,0.03449597004437958,2.4473066832024164e-279
speed_c,-3.2202943407373414,1.207416274670761,0.007650996008810481
distance_c:weight_c,0.00706850160047987,0.00026426889713687646,1.3244143641115625e-157
