stop_id,stop_name,station_printed,country_code,charge_excl_vat_eur,vat_rate_per,charge_incl_vat_eur,basis,price_basis_year,tariff_class,source_ref,note
osm:n3059639306,Göttingen,Göttingen,DE,65.79,19.0,78.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.54 EUR not used: regional traffic
osm:n3450444902,Gütersloh Hbf,Gütersloh Hbf,DE,19.71,19.0,23.45,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 7.42 EUR not used: regional traffic
osm:n250082941,Halle (Saale) Hauptbahnhof,Halle (Saale) Hbf,DE,68.42,19.0,81.42,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.77 EUR not used: regional traffic
osm:n2459919677,Hamburg Hauptbahnhof,Hamburg Hbf,DE,36.07,19.0,42.92,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 12.52 EUR not used: regional traffic
osm:n3357946758,Hamburg-Altona,Hamburg-Altona,DE,36.07,19.0,42.92,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 12.52 EUR not used: regional traffic
osm:n4725309875,Hamburg-Harburg,Hamburg-Harburg,DE,19.09,19.0,22.72,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 6.63 EUR not used: regional traffic
osm:n2146217850,Hamm (Westf) Hbf,Hamm (Westf) Hbf,DE,39.98,19.0,47.58,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 13.94 EUR not used: regional traffic
osm:n3059639307,Hannover Hauptbahnhof,Hannover Hbf,DE,71.09,19.0,84.60,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 24.69 EUR not used: regional traffic
osm:n2820941790,Heidelberg Hauptbahnhof,Heidelberg Hbf,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n27385328,Heilbronn Hauptbahnhof,Heilbronn Hbf,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n3616040153,Hildesheim Hauptbahnhof,Hildesheim Hbf,DE,65.79,19.0,78.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.54 EUR not used: regional traffic
osm:n3543804400,Ingolstadt Hbf,Ingolstadt Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n1126168394,Jena Paradies,Jena Paradies,DE,29.47,19.0,35.07,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 10.23 EUR not used: regional traffic
osm:n30959690,Kaiserslautern Hauptbahnhof,Kaiserslautern Hbf,DE,48.92,19.0,58.21,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 16.99 EUR not used: regional traffic
osm:n2574283615,Karlsruhe Hauptbahnhof,Karlsruhe Hbf,DE,71.96,19.0,85.63,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 25.00 EUR not used: regional traffic
osm:n260716557,Kassel-Wilhelmshöhe,Kassel-Wilhelmshöhe,DE,70.17,19.0,83.50,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 24.60 EUR not used: regional traffic
osm:n4530820004,Kempten (Allgäu) Hbf,Kempten (Allgäu) Hbf,DE,13.92,19.0,16.56,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 4.90 EUR not used: regional traffic
osm:n4257641280,Kiel Hauptbahnhof,Kiel Hbf,DE,78.25,19.0,93.12,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 27.18 EUR not used: regional traffic
osm:n3524305897,Koblenz Hbf,Koblenz Hbf,DE,53.34,19.0,63.47,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 19.06 EUR not used: regional traffic
osm:n2399559029,Köln Hauptbahnhof,Köln Hbf,DE,52.59,19.0,62.58,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 18.27 EUR not used: regional traffic
osm:n74880878,Köln Messe/Deutz,Köln Messe/Deutz,DE,52.59,19.0,62.58,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 18.27 EUR not used: regional traffic
osm:n3044304327,Köln Süd,Köln Süd,DE,7.51,19.0,8.94,per_call,2026,Preisklasse 4,DE-DB-SPL-2026,SPFV share; SPNV share 2.69 EUR not used: regional traffic
osm:n4551541317,Köln-Ehrenfeld,Köln-Ehrenfeld,DE,15.45,19.0,18.39,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 5.43 EUR not used: regional traffic
osm:n534753716,Landshut (Bay) Hbf,Landshut (Bay) Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n376142577,Leipzig Hauptbahnhof,Leipzig Hbf,DE,88.79,19.0,105.66,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 30.84 EUR not used: regional traffic
osm:n280139991,Lutherstadt Wittenberg Hbf,Lutherstadt Wittenberg Hbf,DE,19.18,19.0,22.82,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 6.80 EUR not used: regional traffic; price list remark: Name alt: Lutherstadt Wittenberg Hauptbahnhof
osm:n3244393949,Lörrach Hauptbahnhof,Lörrach Hbf,DE,11.31,19.0,13.46,per_call,2026,Preisklasse 4,DE-DB-SPL-2026,SPFV share; SPNV share 4.05 EUR not used: regional traffic
osm:n25149874,Lübeck Hauptbahnhof,Lübeck Hbf,DE,78.25,19.0,93.12,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 27.18 EUR not used: regional traffic
osm:n3594997072,Lüneburg,Lüneburg,DE,65.79,19.0,78.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.54 EUR not used: regional traffic
osm:n3087634633,Magdeburg Hauptbahnhof,Magdeburg Hbf,DE,68.42,19.0,81.42,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.77 EUR not used: regional traffic
osm:n7141879068,Mainz Hauptbahnhof,Mainz Hbf,DE,48.92,19.0,58.21,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 16.99 EUR not used: regional traffic
osm:n25439439,Mannheim Hauptbahnhof,Mannheim Hbf,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n2631683231,Mönchengladbach Hbf,Mönchengladbach Hbf,DE,28.96,19.0,34.46,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 10.09 EUR not used: regional traffic
osm:n2470201868,München Hauptbahnhof,München Hbf,DE,62.37,19.0,74.22,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 21.67 EUR not used: regional traffic
osm:n2465304880,München Ost,München Ost,DE,62.37,19.0,74.22,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 21.67 EUR not used: regional traffic
osm:n3374898279,Münster (Westf) Hauptbahnhof,Münster (Westf) Hbf,DE,39.98,19.0,47.58,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 13.94 EUR not used: regional traffic
osm:n7160009313,Neumünster,Neumünster,DE,78.25,19.0,93.12,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 27.18 EUR not used: regional traffic
osm:n6771321243,Neustadt (Holstein),Neustadt (Holst),DE,10.48,19.0,12.47,per_call,2026,Preisklasse 6,DE-DB-SPL-2026,SPFV share; SPNV share 3.64 EUR not used: regional traffic
osm:n4543919208,Nürnberg Hauptbahnhof,Nürnberg Hbf,DE,62.37,19.0,74.22,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 21.67 EUR not used: regional traffic
osm:n2931428598,Offenburg,Offenburg,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n253313309,Oldenburg (Holstein),Oldenburg (Holst),DE,10.48,19.0,12.47,per_call,2026,Preisklasse 6,DE-DB-SPL-2026,SPFV share; SPNV share 3.64 EUR not used: regional traffic
osm:n91753264,Oldenburg (Oldb) Hbf,Oldenburg (Oldb) Hbf,DE,65.79,19.0,78.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.54 EUR not used: regional traffic
