route_name,all_routes_serving_segment,start_stop_id,start_stop_name,start_ds100,end_stop_id,end_stop_name,end_ds100,travel_duration_min,air_distance_km,n_trip_occurrences
NJ 402 = NJ 403,NJ 402 = NJ 403,Duisburg Hbf,Duisburg Hbf,EDG,Oberhausen Hbf,Oberhausen Hbf,EOB,8,7.0,2
NJ 402 = NJ 403,NJ 402 = NJ 403,Offenburg,Offenburg,RO,Bonn Hbf,Bonn Hbf,KB,278,258.2,2
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 470 = NJ 471; NJ 492 = NJ 493,Hamburg Harburg,Hamburg Harburg,AHAR,Hamburg Hbf,Hamburg Hbf,AH,12,10.7,6
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 492 = NJ 493,Hannover Hbf,Hannover Hbf,HH,Hamburg Harburg,Hamburg Harburg,AHAR,96,121.2,4
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 420 = NJ 421,Ingolstadt Hbf,Ingolstadt Hbf,MIH,Nürnberg Hbf,Nürnberg Hbf,NN,60,82.3,4
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 492 = NJ 493,Kassel-Wilhelmshöhe,Kassel-Wilhelmshöhe,FKW,Göttingen,Göttingen,HG,26,41.6,4
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 420 = NJ 421,München Ost,München Ost,MOP,Ingolstadt Hbf,Ingolstadt Hbf,MIH,81,69.7,4
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 40421 = NJ 40490; NJ 420 = NJ 421; NJ 492 = NJ 493,Nürnberg Hbf,Nürnberg Hbf,NN,Würzburg Hbf,Würzburg Hbf,NWH,66,91.5,8
NJ 40420 = NJ 40491,NJ 40420 = NJ 40491; NJ 40421 = NJ 40490; NJ 420 = NJ 421; NJ 492 = NJ 493,Würzburg Hbf,Würzburg Hbf,NWH,Kassel-Wilhelmshöhe,Kassel-Wilhelmshöhe,FKW,146,171.4,7
NJ 40421 = NJ 40490,NJ 40421 = NJ 40490; NJ 420 = NJ 421,Essen Hbf,Essen Hbf,EE,Kassel-Wilhelmshöhe,Kassel-Wilhelmshöhe,FKW,148,169.6,2
NJ 40421 = NJ 40490,NJ 40421 = NJ 40490; NJ 492 = NJ 493,Nürnberg Hbf,Nürnberg Hbf,NN,München Ost,München Ost,MOP,95,151.7,4
NJ 40421 = NJ 40490,NJ 40421 = NJ 40490; NJ 420 = NJ 421,Oberhausen Hbf,Oberhausen Hbf,EOB,Essen Hbf,Essen Hbf,EE,13,11.6,2
NJ 40421 = NJ 40490,NJ 40421 = NJ 40490,Würzburg Hbf,Würzburg Hbf,NWH,Oberhausen Hbf,Oberhausen Hbf,EOB,294,286.2,1
NJ 408 = NJ 409,NJ 408 = NJ 409,Berlin Südkreuz,Berlin Südkreuz,BPAF,Lutherstadt Wittenberg Hbf,Lutherstadt Wittenberg Hbf,LW,45,83.0,1
NJ 408 = NJ 409,NJ 408 = NJ 409,Bitterfeld,Bitterfeld,LBT,Halle (Saale) Hbf,Halle (Saale) Hbf,LH,25,27.9,1
NJ 408 = NJ 409,NJ 408 = NJ 409,Halle (Saale) Hbf,Halle (Saale) Hbf,LH,Leipzig Hbf,Leipzig Hbf,LL,24,31.1,1
NJ 408 = NJ 409,NJ 408 = NJ 409,Leipzig Hbf,Leipzig Hbf,LL,Mannheim Hbf,Mannheim Hbf,RM,319,346.2,2
NJ 408 = NJ 409,NJ 408 = NJ 409,Leipzig Hbf,Leipzig Hbf,LL,Berlin Südkreuz,Berlin Südkreuz,BPAF,115,142.6,1
NJ 408 = NJ 409,NJ 408 = NJ 409,Lutherstadt Wittenberg Hbf,Lutherstadt Wittenberg Hbf,LW,Bitterfeld,Bitterfeld,LBT,20,36.1,1
NJ 420 = NJ 421,NJ 420 = NJ 421,Hamm (Westf) Hbf,Hamm (Westf) Hbf,EHM,Kassel-Wilhelmshöhe,Kassel-Wilhelmshöhe,FKW,,120.6,1
NJ 420 = NJ 421,NJ 420 = NJ 421,Münster (Westf) Hbf,Münster (Westf) Hbf,EMST,Hamm (Westf) Hbf,Hamm (Westf) Hbf,EHM,22,33.1,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Aachen Hbf,Aachen Hbf,KA,Köln Hbf,Köln Hbf,KK,40,63.9,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Bonn Hbf,Bonn Hbf,KB,Köln Ehrenfeld,Köln Ehrenfeld,KKER,38,27.5,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Bonn-Beuel,Bonn-Beuel,KBB,Koblenz Hbf,Koblenz Hbf,KKO,57,54.0,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Koblenz Hbf,Koblenz Hbf,KKO,München Ost,München Ost,MOP,399,382.2,2
NJ 468 = NJ 469,NJ 468 = NJ 469,Koblenz Hbf,Koblenz Hbf,KKO,Bonn Hbf,Bonn Hbf,KB,42,54.8,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Köln Ehrenfeld,Köln Ehrenfeld,KKER,Aachen Hbf,Aachen Hbf,KA,42,61.6,1
NJ 468 = NJ 469,NJ 468 = NJ 469,Köln Hbf,Köln Hbf,KK,Bonn-Beuel,Bonn-Beuel,KBB,23,25.7,1
NJ 470 = NJ 471,NJ 470 = NJ 471,Bremen Hbf,Bremen Hbf,HB,Hamburg Harburg,Hamburg Harburg,AHAR,61,88.6,2
NJ 470 = NJ 471,NJ 470 = NJ 471,Bruchsal,Bruchsal,RBR,Heidelberg Hbf,Heidelberg Hbf,RH,23,31.7,1
NJ 470 = NJ 471,NJ 470 = NJ 471,Darmstadt Hbf,Darmstadt Hbf,FD,Frankfurt (Main) Süd,Frankfurt (Main) Süd,FFS,15,25.6,1
NJ 470 = NJ 471,NJ 470 = NJ 471,Frankfurt (Main) Süd,Frankfurt (Main) Süd,FFS,Karlsruhe Hbf,Karlsruhe Hbf,RK,90,124.7,1
NJ 470 = NJ 471,NJ 470 = NJ 471,Hanau Hbf,Hanau Hbf,FH  N,Göttingen,Göttingen,HG,142,172.3,2
NJ 470 = NJ 471,NJ 470 = NJ 471,Hannover Hbf,Hannover Hbf,HH,Bremen Hbf,Bremen Hbf,HB,70,100.4,2
NJ 470 = NJ 471,NJ 470 = NJ 471,Heidelberg Hbf,Heidelberg Hbf,RH,Darmstadt Hbf,Darmstadt Hbf,FD,51,52.3,1
NJ 470 = NJ 471,NJ 470 = NJ 471,Karlsruhe Hbf,Karlsruhe Hbf,RK,Bruchsal,Bruchsal,RBR,13,19.7,1
