route_id,trip_id,leg_sequence,from_stop_id,to_stop_id,countries,scheduled_running_min,routed_driving_min,routed_dynamics_min,routed_model_min,implied_buffer_min,implied_buffer_pct,routed_buffer_min,applied_buffer_pct,routed_distance_km,excluded_reason
269,UZ 083 L,6,Oleksandriia,Dnipro Holovny,,167,,0,,,,,,,routing_failed
27,TCDD/BDŽ 12503/492,1,İstanbul Halkalı,Edirne,,,149,1,150,,,0,0.0,255.5,no_timetable
27,TCDD/BDŽ 12503/492,2,Edirne,Kapıkule,,34,11,1,12,22,183.3,0,0.0,19.8,no_country_shares
27,TCDD/BDŽ 12503/492,3,Kapıkule,Svilengrad,BG,7,10,1,11,-4,-36.4,4,36.4,19.9,router_slower_than_reality
27,TCDD/BDŽ 12503/492,4,Svilengrad,Dimitrovgrad,BG,45,27,1,28,17,60.7,12,42.9,64.3,
27,TCDD/BDŽ 12503/492,5,Dimitrovgrad,Plovdiv,BG,75,35,1,36,39,108.3,14,38.9,76.7,
27,TCDD/BDŽ 12503/492,6,Plovdiv,Sofia,BG,263,169,1,170,93,54.7,68,40.0,213.8,
270,LE LE 232,1,Przemyśl Gł.,Rzeszow Gł.,PL,,50,1,51,,,20,39.2,86.6,no_timetable
270,LE LE 232,2,Rzeszow Gł.,Kraków Gł.,PL,,68,1,69,,,28,40.6,157.1,no_timetable
270,LE LE 232,3,Kraków Gł.,Bohumín,CZ+PL,,79,1,80,,,31,38.8,136.0,no_timetable
270,LE LE 232,4,Bohumín,Ostrava hl.n.,CZ,,5,1,6,,,2,33.3,8.5,no_timetable
270,LE LE 232,5,Ostrava hl.n.,Olomouc hl.n.,CZ,,52,1,53,,,21,39.6,103.7,no_timetable
270,LE LE 232,6,Olomouc hl.n.,Pardubice hl.n.,CZ,,68,1,69,,,27,39.1,144.4,no_timetable
270,LE LE 232,7,Pardubice hl.n.,Praha hl.n.,CZ,,48,1,49,,,19,38.8,103.6,no_timetable
270,LE LE 232,8,Praha hl.n.,Ústí nad Labem hl.n.,CZ,,64,1,65,,,26,40.0,112.2,no_timetable
270,LE LE 232,9,Ústí nad Labem hl.n.,Děčín hl.n.,CZ,,14,1,15,,,6,40.0,22.7,no_timetable
270,LE LE 232,10,Děčín hl.n.,Erfurt Hbf,CZ+DE,213,157,1,158,55,34.8,78,49.4,298.1,
270,LE LE 232,11,Erfurt Hbf,Fulda,DE,96,69,1,70,26,37.1,35,50.0,154.4,
270,LE LE 232,12,Fulda,Hanau Hbf,DE,67,36,1,37,30,81.1,19,51.4,80.5,
270,LE LE 232,13,Hanau Hbf,Frankfurt (Main) Süd,DE,20,16,1,17,3,17.6,8,47.1,21.1,
270,LE LE 232,14,Frankfurt (Main) Süd,Frankfurt (Main) Flughafen Fernbahnhof,DE,27,7,1,8,19,,4,50.0,11.3,leg_too_short
28,TCDD/BDŽ/CFR 12503/460,1,İstanbul Halkalı,Edirne,,,149,1,150,,,0,0.0,255.5,no_timetable
28,TCDD/BDŽ/CFR 12503/460,2,Edirne,Kapıkule,,196,11,1,12,184,1533.3,0,0.0,19.8,no_country_shares
28,TCDD/BDŽ/CFR 12503/460,3,Kapıkule,Svilengrad,BG,150,10,1,11,139,1263.6,4,36.4,19.9,residual_implausible
28,TCDD/BDŽ/CFR 12503/460,4,Svilengrad,Dimitrovgrad,BG,167,27,1,28,139,496.4,12,42.9,64.3,residual_implausible
28,TCDD/BDŽ/CFR 12503/460,5,Dimitrovgrad,Stara Zagora,BG,151,64,0,64,87,135.9,26,40.6,55.9,
28,TCDD/BDŽ/CFR 12503/460,6,Stara Zagora,Veliko Tarnovo,BG,149,122,1,123,26,21.1,49,39.8,128.2,
28,TCDD/BDŽ/CFR 12503/460,7,Veliko Tarnovo,Gorna Oryahovitsa,BG,10,13,1,14,-4,-28.6,5,35.7,13.6,router_slower_than_reality
28,TCDD/BDŽ/CFR 12503/460,8,Gorna Oryahovitsa,Ruse,BG,142,108,1,109,33,30.3,43,39.4,110.0,
28,TCDD/BDŽ/CFR 12503/460,9,Ruse,Giurgiu Nord,BG+RO,70,17,1,18,52,288.9,7,38.9,16.1,
28,TCDD/BDŽ/CFR 12503/460,10,Giurgiu Nord,București Nord,RO,134,66,1,67,67,100.0,26,38.8,85.9,
3,HŽPP 1820,1,Split,Knin,HR,147,97,1,98,49,50.0,39,39.8,102.7,
3,HŽPP 1820,2,Knin,Gospić,HR,111,87,1,88,23,26.1,35,39.8,108.5,
3,HŽPP 1820,3,Gospić,Karlovac,HR,189,145,1,146,43,29.5,58,39.7,159.6,
3,HŽPP 1820,4,Karlovac,Zagreb Gl. K.,HR,63,42,1,43,20,46.5,17,39.5,52.6,
30,TCDD 22006,1,Ankara,Eskişehir,,,174,1,175,,,0,0.0,255.7,no_timetable
30,TCDD 22006,2,Eskişehir,Balıkesir,,335,231,1,232,103,44.4,0,0.0,328.9,no_country_shares
30,TCDD 22006,3,Balıkesir,Manisa,,176,108,1,109,67,61.5,0,0.0,171.0,no_country_shares
30,TCDD 22006,4,Manisa,İzmir Çiğli,,79,26,1,27,52,192.6,0,0.0,45.6,no_country_shares
30,TCDD 22006,5,İzmir Çiğli,İzmir Basmane,,34,13,1,14,20,142.9,0,0.0,20.3,no_country_shares
31,TCDD 12002,1,İstanbul Halkalı,İstanbul Sögütlücesme,,,29,1,30,,,0,0.0,33.9,no_timetable
31,TCDD 12002,2,İstanbul Sögütlücesme,İstanbul Pendik,,,19,1,20,,,0,0.0,22.5,no_timetable
31,TCDD 12002,3,İstanbul Pendik,İzmit,,,47,1,48,,,0,0.0,67.6,no_timetable
31,TCDD 12002,4,İzmit,Ankara,,382,291,1,292,90,30.8,0,0.0,468.2,no_country_shares
37,CS 1003 (G),1,London Euston,Watford Junction,GB,,13,1,14,,,5,35.7,28.0,no_timetable
37,CS 1003 (G),2,Watford Junction,Carlisle,GB,297,183,1,184,113,61.4,74,40.2,452.7,
37,CS 1003 (G),3,Carlisle,Motherwell,GB,113,61,1,62,51,82.3,25,40.3,143.8,
37,CS 1003 (G),4,Motherwell,Glasgow Central,GB,30,16,1,17,13,76.5,6,35.3,22.3,
38,CS 1003 (E),1,London Euston,Watford Junction,GB,,13,1,14,,,5,35.7,28.0,no_timetable
38,CS 1003 (E),2,Watford Junction,Carlisle,GB,297,183,1,184,113,61.4,74,40.2,452.7,
38,CS 1003 (E),3,Carlisle,Edinburgh Waverley,GB,143,74,1,75,68,90.7,31,41.3,163.6,
39,CS 1001 (A),1,London Euston,Birmingham International,GB,,68,1,69,,,28,40.6,168.2,no_timetable
39,CS 1001 (A),2,Birmingham International,Crewe,GB,,43,1,44,,,18,40.9,95.0,no_timetable
